0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (69.219142132281021, -327.01296892035589, -257.79382678807485)
2 (67.090473988805897, -324.88195990460588, -257.79148591579997)
3 (63.438833953231708, -321.22214032300366, -257.78330636977194)
4 (58.43988124024667, -316.20661855903484, -257.76673731878816)
5 (52.406708711217874, -310.14630101316709, -257.73959230194919)
6 (45.813044285779476, -303.51501754286056, -257.70197325708108)
7 (39.282412549141419, -296.93997042755365, -257.65755787841221)
8 (33.520269323321052, -291.13536447161744, -257.6150951482964)
9 (29.184508463582219, -286.77007873936481, -257.58557027578257)
10 (26.728256795467392, -284.30541042935948, -257.57715363389207)
11 (26.281428977318473, -283.87267542034783, -257.59124644302938)
12 (27.62701625566806, -285.24964930119302, -257.62263304552494)
13 (30.280539162896911, -287.94202413400006, -257.66148497110316)
14 (33.638907034097315, -291.33667031033366, -257.69776327623634)
15 (37.128014162197417, -294.85254899471164, -257.72453483251422)
16 (40.305576627722296, -298.0439404517781, -257.7383638240558)
17 (42.913137919728626, -300.65333916556608, -257.74020124583745)
18 (44.875797905892291, -302.60882859664264, -257.73303069075035)
19 (46.276574131347417, -303.99563801978206, -257.71906388843468)
20 (47.319826308952607, -305.02108542363948, -257.70125911468688)
21 (48.269862054451849, -305.95262401641634, -257.6827619619645)
22 (49.404120120948114, -307.07047480280005, -257.66635468185194)
23 (50.977650564571412, -308.63190479810442, -257.65425423353298)
24 (53.182834996433122, -310.83024136315487, -257.64740636672173)
25 (56.120285775559267, -313.76766108431144, -257.6473753087522)
26 (59.795035288899669, -317.44827065015909, -257.65323536125942)
27 (64.119503228484319, -321.7838370029765, -257.66433377449221)
28 (68.930260509741515, -326.60873222539971, -257.67847171565819)
29 (74.020256287255251, -331.71221770987387, -257.69196142261865)
30 (79.157078687192637, -336.86483689453331, -257.7077582073407)
31 (84.106646706258417, -341.82867327170317, -257.72202656544476)
32 (88.665909890920744, -346.39715924302783, -257.73124935210706)
33 (92.660029116016645, -350.40141154529312, -257.74138242927648)
34 (95.935390432932508, -353.68672860842145, -257.75133817548897)
35 (98.360123849194693, -356.11957524379642, -257.75945139460174)
36 (99.825059644559303, -357.5914659686967, -257.76640632413739)
37 (100.25543655210271, -358.02729766323898, -257.77186111113627)
38 (99.635294189105764, -357.40835274855965, -257.77305855945389)
39 (98.05760116988651, -355.82103409456028, -257.76343292467379)
40 (95.756881786665474, -353.50201375680581, -257.74513197014033)
41 (93.105227602794017, -350.82478621624716, -257.71955861345316)
42 (90.579963259150247, -348.27106227079469, -257.69109901164444)
43 (88.660733316276634, -346.33507913304521, -257.67434581676855)
44 (87.64622007438831, -345.32681967284668, -257.68059959845834)
45 (87.492306106492094, -345.1991139416881, -257.706807835196)
46 (87.847066052163697, -345.58385012917626, -257.73678407701254)
47 (88.292841779444004, -346.04528654341669, -257.75244476397268)
48 (88.571529643565697, -346.32641043675966, -257.75488079319393)
49 (88.619832063839866, -346.37117490445462, -257.75134284061477)
50 (88.459829206267926, -346.21031654149056, -257.7504873352226)
51 (88.104714519700579, -345.85719604739626, -257.75248152769569)
52 (87.550703294586668, -345.3042446895825, -257.75354139499586)
53 (86.807626848006137, -344.5595992595492, -257.75197241154308)
54 (85.910562218871277, -343.65979839037266, -257.74923617150137)
55 (84.905578891172979, -342.6532412686949, -257.74766237752192)
56 (83.821834368702909, -341.57097215055927, -257.74913778185635)
57 (82.652164435214914, -340.40390317889603, -257.75173874368113)
58 (81.383940572990269, -339.13379875950409, -257.74985818651385)
59 (80.067820980150245, -337.80674477795822, -257.73892379780796)
60 (78.883304852718851, -336.60230282307344, -257.71899797035462)
61 (78.126389259776062, -335.82537216374794, -257.69898290397191)
62 (78.065397765926335, -335.7601435542872, -257.69474578836088)
63 (78.741498775439098, -336.45454661547188, -257.7130478400328)
64 (79.880554984498161, -337.62447328439646, -257.74391829989827)
65 (81.036695363254012, -338.80338261151604, -257.76668724826203)
66 (81.880747260658666, -339.6483415318753, -257.76759427121664)
67 (82.394343366881813, -340.14186867999712, -257.74752531311532)
68 (82.819208247676656, -340.54631048201355, -257.72710223433688)
69 (83.3967655857506, -341.12479822983858, -257.72803264408799)
70 (84.119793727226039, -341.8650478930162, -257.74525416579013)
71 (84.740981789157956, -342.50638633484112, -257.76540454568317)
72 (84.960578707662776, -342.7373799646532, -257.77680125699044)
73 (84.566994955412042, -342.3486859839183, -257.78169102850626)
74 (83.513553255287704, -341.28735920086581, -257.77380594557809)
75 (81.977265003770086, -339.7249829437983, -257.74771794002822)
76 (80.397719961375117, -338.104504429006, -257.70678446763088)
77 (79.411767572223411, -337.08032243507552, -257.66855486285209)
78 (79.583304725343467, -337.24099193646248, -257.65768721111903)
79 (81.040425124663898, -338.7294133190602, -257.6889881943963)
80 (83.332075529256585, -341.07351330447835, -257.74143777522175)
81 (85.690521224434193, -343.4733146271426, -257.78279340270842)
82 (87.463537974278665, -345.25985614159532, -257.79631816731666)
83 (88.351572680468919, -346.14235814304811, -257.79078546257921)
84 (88.378582455828081, -346.15296542732608, -257.77438297149797)
85 (87.741862017000983, -345.50198052072926, -257.76011850372828)
86 (86.664159925408924, -344.41281243107449, -257.74865250566558)
87 (85.322332761855762, -343.06404582058241, -257.74171305872665)
88 (83.8483604303634, -341.58662731948675, -257.73826688912334)
89 (82.349889564153671, -340.08519480973104, -257.73530524557736)
90 (80.921383573078558, -338.65439764841324, -257.73301407533467)
91 (79.653133600283198, -337.38584521075558, -257.73271161047239)
92 (78.62438984510932, -336.3562317711133, -257.73184192600399)
93 (77.916526414870702, -335.64297934915191, -257.72645293428121)
94 (77.662640697465093, -335.37806875473336, -257.71542805726824)
95 (78.077345778915443, -335.77416170827394, -257.69681592935848)
96 (79.420142322537188, -337.10198538431604, -257.68184306177886)
97 (81.84623609688289, -339.53254714475622, -257.68631104787335)
98 (85.242056451146354, -342.95375310793906, -257.7116966567927)
99 (89.199010176367835, -346.94647142292672, -257.74746124655888)
100 (93.136620988029009, -350.92051616528886, -257.78389517725986)
101 (96.443528655739271, -354.26009500927665, -257.81656635353738)
102 (98.578763875613433, -356.41866902033661, -257.83990514472316)
103 (99.192327468895996, -357.03601873389215, -257.84369126499615)
104 (98.258165368371749, -356.08107778986823, -257.82291242149648)
105 (96.116637189018547, -353.89975833492758, -257.78312114590904)
