0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (68.273050849019427, -326.13476160376558, -257.86171075474613)
2 (63.339423471790397, -321.17886588049953, -257.83944240870915)
3 (55.407914778871763, -313.18241775163898, -257.77450297276721)
4 (45.691411709258993, -303.34652906537349, -257.65511735611449)
5 (36.165751665105745, -293.66989192297694, -257.5041402578712)
6 (29.139632856630637, -286.53082627864865, -257.39119342201803)
7 (26.267785150908136, -283.65179496362828, -257.38400981272014)
8 (27.666381983021918, -285.14698705095077, -257.48060506792888)
9 (31.951903023141863, -289.56219370139587, -257.61029067825399)
10 (37.14656010815532, -294.85353755375428, -257.70697744559897)
11 (41.667802511294724, -299.40954128219062, -257.74173877089589)
12 (44.809844872588918, -302.53440535097337, -257.72456047838443)
13 (46.732541963794908, -304.40225861762076, -257.66971665382584)
14 (48.166233619067427, -305.77286462548221, -257.60663100641477)
15 (50.036902295814457, -307.58876234278296, -257.5518600469685)
16 (53.134702987640317, -310.6581785037605, -257.52347551612019)
17 (57.865951847285807, -315.393007031698, -257.52705518441218)
18 (64.155134314981041, -321.71448686538389, -257.55935255040288)
19 (71.513941812328127, -329.11767103174793, -257.60372921941979)
20 (79.215916953362481, -336.86998776560989, -257.65407081224743)
21 (86.484988443884419, -344.17911774883464, -257.69412930495025)
22 (92.656716249233227, -350.38744812832806, -257.73073187909483)
23 (97.204899458563716, -354.96843179430613, -257.76353233574241)
24 (99.709004779865765, -357.49931985545976, -257.79031507559398)
25 (99.901152580197035, -357.70637803326213, -257.80522545306508)
26 (97.847482820697991, -355.62709606041062, -257.7796132397126)
27 (94.229581617501353, -351.9423757641772, -257.71279414667583)
28 (90.40475423714436, -348.02383598363798, -257.61908174649363)
29 (87.932496620502889, -345.51402604235813, -257.58152942185524)
30 (87.444078266467542, -345.10375376950873, -257.65967550304117)
31 (88.046716643741703, -345.79727272271094, -257.75055607896923)
32 (88.534247806442906, -346.30051233822149, -257.76626453177857)
33 (88.503257236705991, -346.26128090846964, -257.75802367176368)
34 (88.004803159462966, -345.76697467124404, -257.76217151178105)
35 (87.061999912762886, -344.82459834429852, -257.76259843153565)
36 (85.744301365889612, -343.49967897940206, -257.75537761351245)
