0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (69.871788743771518, -327.56331754006675, -257.69152879629524)
2 (69.789347156101186, -327.48090723499547, -257.69156007889427)
3 (69.60680116385069, -327.29837971706263, -257.69157855321191)
4 (69.32414349400041, -327.01572675522903, -257.69158326122863)
5 (68.941640896616093, -326.63321386105798, -257.69157296444189)
6 (68.459852175142998, -326.15139832659781, -257.69154615145482)
7 (67.879650350168262, -325.57115145845484, -257.69150110828656)
8 (67.202247674909813, -324.89368337352789, -257.69143569861808)
9 (66.429223357371995, -324.12057112615719, -257.69134776878519)
10 (65.562555708758566, -323.25379061144503, -257.69123490268646)
11 (64.604655232525317, -322.29574983939625, -257.69109460687093)
12 (63.558401579330649, -321.24932609410536, -257.69092451477468)
13 (62.427177587089979, -320.1178989099152, -257.6907213228252)
14 (61.214900330901983, -318.90538344905042, -257.69048311814845)
15 (59.926061283472784, -317.61626981866408, -257.69020853519129)
16 (58.56575610661551, -316.25565042996743, -257.68989432335195)
17 (57.139702129604508, -314.8292396985143, -257.68953756890977)
18 (55.654288084542259, -313.34341842778599, -257.68913034324373)
19 (54.116560478937295, -311.80525095517396, -257.68869047623667)
20 (52.534196558858731, -310.22240409268295, -257.6882075338242)
21 (50.915534196339742, -308.6032184292747, -257.68768423293494)
22 (49.269531850938456, -306.95664895427052, -257.68711710333207)
23 (47.605763201682137, -305.2922936859996, -257.68653048431747)
24 (45.934322737378082, -303.62021736580556, -257.68589462842749)
25 (44.265731464332099, -301.9509635577158, -257.68523209338372)
26 (42.610904403672166, -300.29545400487768, -257.6845496012055)
27 (40.981082667392634, -298.6649639658412, -257.68388129844857)
28 (39.387659491729273, -297.07083183752309, -257.68317234579382)
29 (37.841924700192976, -295.52440587800248, -257.68248117780951)
30 (36.355003509397733, -294.03681290945667, -257.68180940005891)
31 (34.937775256955753, -292.61892127322835, -257.68114601627258)
32 (33.600680436738884, -291.28123683285924, -257.68055639612032)
33 (32.353464970413249, -290.03348818961632, -257.68002321920306)
34 (31.205050286439192, -288.88459134673752, -257.67954106029833)
35 (30.163404117188545, -287.84253698646626, -257.67913286927774)
36 (29.235362983036222, -286.91417512560855, -257.67881214257233)
37 (28.426476033701007, -286.10502405186776, -257.67854801816674)
38 (27.74103590449316, -285.41940910048606, -257.67837319599289)
39 (27.181923076782422, -284.86020911781179, -257.67828604102937)
40 (26.750490293625646, -284.42877020312375, -257.67827990949809)
41 (26.446768304532149, -284.12516426980363, -257.67839596527148)
42 (26.269347520339583, -283.94795323191119, -257.67860571157161)
43 (26.215534154972627, -283.89435469224071, -257.67882053726811)
44 (26.281262601889519, -283.96050117233284, -257.67923857044332)
45 (26.460998107034694, -284.14059533788418, -257.67959723084948)
46 (26.748154451894006, -284.42819572521751, -257.68004127332352)
47 (27.135552184160506, -284.81612321568878, -257.68057103152825)
48 (27.614957520369021, -285.29607556183026, -257.68111804146122)
49 (28.177276541642019, -285.85907789593745, -257.68180135429543)
50 (28.813288654902816, -286.49578534547544, -257.68249669057263)
51 (29.51340793188362, -287.19660701122717, -257.68319907934358)
52 (30.267814975420084, -287.95163056402106, -257.68381558860096)
53 (31.066634567843597, -288.75107958840368, -257.68444502056008)
54 (31.900512768080038, -289.58564143642502, -257.68512866834499)
55 (32.760066972351595, -290.44573201553453, -257.68566504318295)
56 (33.635926390558581, -291.32203816159256, -257.68611177103401)
57 (34.519669923447061, -292.20637492661939, -257.68670500317234)
58 (35.403504861782537, -293.09069635627031, -257.68719149448776)
59 (36.279855923505409, -293.96742747003731, -257.6875715465319)
60 (37.142015118494243, -294.83003226659201, -257.68801714809774)
61 (37.984060444732201, -295.67234037984423, -257.68827993511201)
62 (38.800569486508174, -296.48922115148332, -257.68865166497517)
63 (39.587179016933426, -297.27609407036726, -257.68891505343385)
64 (40.340255212485971, -298.0292214045744, -257.6889661920884)
65 (41.056964528887363, -298.74597393873267, -257.68900940984531)
66 (41.734852126886715, -299.4239462213913, -257.68909409450458)
67 (42.372625714263698, -300.06187257768039, -257.68924686341671)
68 (42.969751315961176, -300.65874641452785, -257.68899509856669)
69 (43.525749958807602, -301.21476410069977, -257.68901414189219)
70 (44.040868500238147, -301.72974135449488, -257.68887285425672)
71 (44.516031601235589, -302.20489816268878, -257.68886656145321)
72 (44.952971486109817, -302.64173664398976, -257.68876515787997)
73 (45.353820069305634, -303.04240079782761, -257.68858072852197)
74 (45.721568851299999, -303.41000358456347, -257.68843473326348)
75 (46.059267578158675, -303.7475364719495, -257.68826889379085)
76 (46.369868922303517, -304.05798378538429, -257.68811486308078)
77 (46.657322671006732, -304.34520513462195, -257.68788246361521)
78 (46.925943798536231, -304.61358864491194, -257.68764484637569)
79 (47.17958338067114, -304.86701086379998, -257.68742748312883)
80 (47.422483693359666, -305.10960653667257, -257.68712284331292)
81 (47.659184221692506, -305.34608930976162, -257.68690508806912)
