0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (69.826173502525549, -327.53459498563484, -257.7084214831093)
2 (69.589799543037657, -327.29829432721147, -257.70849478417381)
3 (69.128233352711277, -326.83673161590355, -257.70849826319227)
4 (68.442629728292786, -326.15105172516354, -257.70842199687075)
5 (67.535680923236797, -325.24393405777136, -257.70825313453457)
6 (66.411801419649976, -324.11977718588167, -257.7079757662317)
7 (65.077347046204153, -322.78491920959954, -257.70757216339541)
8 (63.540868216062741, -321.24789024421921, -257.70702202815647)
9 (61.813373082627486, -319.51968070368298, -257.70630762105549)
10 (59.908590362513443, -317.61399907101355, -257.7054087085001)
11 (57.843219748307078, -315.54753133522723, -257.70431158692014)
12 (55.637161792314991, -313.3401389233386, -257.7029771310236)
13 (53.313632344811651, -311.01507533720212, -257.70144299239047)
14 (50.899124304818493, -308.59882306393911, -257.69969875912062)
15 (48.423381837210279, -306.12111326027804, -257.69773142306775)
16 (45.919099302793832, -303.61471028849252, -257.69561098569869)
17 (43.421426176540301, -301.11478217356034, -257.69335599702003)
18 (40.967488955423924, -298.65850262180436, -257.69101366638046)
19 (38.595471638432947, -296.28413419614878, -257.68866255771582)
20 (36.343369952695426, -294.02974345145481, -257.68637349875939)
21 (34.248087989041764, -291.9322382066639, -257.68415021762212)
22 (32.344131690308345, -290.02635557148983, -257.68222388118147)
23 (30.662246276563355, -288.34284287126957, -257.68059659470623)
24 (29.228316711318499, -286.90766919585218, -257.67935248453369)
25 (28.062105330952221, -285.74062114096063, -257.67851581000843)
26 (27.176798729947244, -284.85503304276915, -257.67823431282193)
27 (26.578485679289859, -284.25677237524582, -257.67828669595593)
28 (26.265858928921659, -283.94468495233241, -257.67882602341075)
29 (26.230910173635642, -283.9106177115998, -257.67970753796413)
30 (26.458613885984779, -284.13958964671724, -257.68097576073245)
31 (26.927843257252469, -284.61022513599079, -257.68238187873834)
32 (27.613020749111321, -285.29738800196088, -257.68436725284954)
33 (28.484837315861075, -286.17120308198406, -257.686365766123)
34 (29.51156209963154, -287.19997396592413, -257.6884118662926)
35 (30.660209681052461, -288.35063913147616, -257.69042945042372)
36 (31.898283977217801, -289.59056841013188, -257.69228443291411)
37 (33.193731839196282, -290.88787541180392, -257.69414357260763)
38 (34.516327283997512, -292.21219377228113, -257.69586648828363)
39 (35.838962515106736, -293.53646200054658, -257.69749948543983)
40 (37.137335698056134, -294.83600784537617, -257.69867214732005)
41 (38.390557627914056, -296.09008837189162, -257.69953074397756)
42 (39.5813767169154, -297.28156897822458, -257.70019226130921)
43 (40.696781809622586, -298.39732215402296, -257.70054034440039)
44 (41.727391443967818, -299.42835825403353, -257.70096681006572)
45 (42.667764767353361, -300.36920224016228, -257.70143747280895)
46 (43.516234740948121, -301.21768221263397, -257.70144747168587)
47 (44.27329970148481, -301.97432635131145, -257.70102664982664)
48 (44.942436524036573, -302.64291524400676, -257.70047871997019)
49 (45.530833892430678, -303.23042177715604, -257.69958788472536)
50 (46.047917043556943, -303.74690839936687, -257.69899135580994)
51 (46.504566570406496, -304.2027349173656, -257.69816834695911)
52 (46.913989711707984, -304.61125550399981, -257.69726579229183)
53 (47.290148448036021, -304.98619508532352, -257.69604663728751)
54 (47.647116433088499, -305.34225613213721, -257.6951396990487)
55 (47.999617482561561, -305.69359578182349, -257.69397829926191)
56 (48.362241340718292, -306.05510206488515, -257.69286072416685)
57 (48.750068696214335, -306.4418630555931, -257.69179435937878)
58 (49.177523307906235, -306.86831976054458, -257.69079645263832)
59 (49.657640340708234, -307.34758574791778, -257.68994540720956)
60 (50.203491462081452, -307.89272672360954, -257.6892352615281)
61 (50.826522936953914, -308.51490475957735, -257.68838182262346)
62 (51.535870845770468, -309.22349184002343, -257.68762099425294)
63 (52.339017532901913, -310.02625402338481, -257.68723649048292)
64 (53.241797064758629, -310.92855964594526, -257.6867625811866)
65 (54.248486963958193, -311.93523373087726, -257.68674676691904)
66 (55.360877172811584, -313.04764067281906, -257.68676350000749)
67 (56.578587662799897, -314.26546089760257, -257.68687323480265)
68 (57.900317775703456, -315.58781007236911, -257.68749229666565)
69 (59.32245781376654, -317.01044550019691, -257.68798768643035)
70 (60.83943502492415, -318.52812500210422, -257.68868997718005)
71 (62.44462005676511, -320.13380784454313, -257.689187787778)
72 (64.128794753749645, -321.81854180679085, -257.68974705304117)
73 (65.88263783578617, -323.57314301584108, -257.69050518005491)
74 (67.695602857376699, -325.38662705527406, -257.69102419789738)
75 (69.555687727480617, -327.24777298566391, -257.69208525818328)
76 (71.452465629255059, -329.14484198630055, -257.69237635704548)
77 (73.374217050338942, -331.06706646687894, -257.69284941654001)
78 (75.307745425269289, -333.00164240637213, -257.69389698110285)
79 (77.240846888864482, -334.9357379409135, -257.694891052049)
80 (79.160177459311598, -336.85580242852262, -257.69562496921105)
81 (81.053581956801651, -338.75005744543847, -257.69647548863679)
82 (82.910093176158981, -340.60730833879904, -257.69721516264008)
83 (84.717820099616006, -342.41555715511635, -257.69773705550034)
84 (86.467075224181698, -344.16539754077911, -257.6983223165974)
85 (88.149558267065842, -345.84855640676557, -257.69899813969971)
86 (89.756326950456639, -347.45610403205842, -257.69977708160178)
87 (91.278346393906332, -348.97884055962493, -257.70049416571862)
88 (92.707289350758685, -350.40851464453732, -257.70122529377863)
89 (94.035652585879703, -351.73761101656021, -257.70195843068052)
90 (95.256297427245173, -352.95822993433529, -257.70193250709013)
91 (96.361754992603466, -354.06408679912482, -257.70233180652133)
92 (97.344913492608299, -355.04768554251604, -257.70277204990771)
93 (98.199784757350713, -355.90312674916868, -257.70334199181798)
94 (98.92114450999641, -356.62514894668186, -257.70400443668547)
95 (99.50462571712562, -357.20866958927013, -257.7040438721445)
96 (99.945788663273632, -357.64972030505015, -257.70393164177653)
97 (100.24056582214016, -357.94488810880796, -257.70432228666778)
98 (100.38719315805531, -358.09106752409713, -257.70387436604182)
99 (100.3847703299662, -358.08835795645416, -257.70358762648794)
100 (100.23339528801218, -357.93707971924124, -257.70368443122908)
101 (99.935924316164147, -357.63961652645565, -257.70369221029148)
102 (99.497995782358558, -357.20145397708529, -257.70345819472675)
103 (98.928986985224384, -356.6317473260886, -257.70276034086419)
104 (98.241421106725497, -355.94405085202538, -257.70262974529987)
105 (97.449286531912534, -355.15120910581277, -257.70192257390022)
106 (96.569797596412599, -354.27091460213944, -257.70111700572681)
107 (95.623624621780849, -353.32406714698482, -257.70044252520398)
108 (94.633018113878094, -352.33217060855321, -257.6991524946751)
109 (93.622238882934681, -351.32015563730198, -257.69791675436727)
110 (92.617936132002882, -350.31457257474813, -257.69663644274522)
111 (91.646935615776187, -349.34213497435809, -257.69519935858193)
112 (90.736516888275148, -348.43005989149685, -257.69354300322169)
113 (89.91209457199173, -347.60448048435234, -257.69238591236058)
114 (89.194653054645769, -346.88623615243802, -257.69158309779226)
115 (88.600713982449989, -346.29183708008662, -257.69112309763665)
116 (88.140352594256385, -345.83159525728985, -257.69124266303345)
117 (87.815664656811649, -345.50742589251774, -257.69176123570611)
