0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (362.03827290179908, -142.33026013851278, 219.70801276328629)
2 (3.9196469768223808e+17, 364459314.10881716, 3.9196469804669741e+17)
3 (7.204660827718221e+19, 4251152650.3297458, 7.2046608281433367e+19)
4 (5.1480238644830791e+20, 6484382600.6912546, 5.1480238645479231e+20)
5 (2.0418522487340756e+27, 9693957283842.6855, 2.0418522487340852e+27)
6 (8.16738299070735e+27, 1024123927.6628838, 8.16738299070735e+27)
7 (8.1673695081268665e+27, 3302870.3135075183, 8.1673695081268665e+27)
8 (8.1213146029228098e+27, 362887956310.35492, 8.1213146029228098e+27)
9 (8.0785693486262672e+27, 2418399385.1901417, 8.0785693486262672e+27)
10 (8.0785694473935693e+27, 1673886513.7049723, 8.0785694473935693e+27)
11 (8.0785721875367105e+27, 17107433546.224918, 8.0785721875367105e+27)
12 (8.0785792943538392e+27, 196717206.56486419, 8.0785792943538392e+27)
13 (8.0785792964429981e+27, 438895255.8077693, 8.0785792964429981e+27)
14 (8.0785793399616903e+27, 2650104677.8723345, 8.0785793399616903e+27)
15 (1.412372560699616e+28, 16214925680207.943, 1.4123725606996175e+28)
16 (3.2259121698322944e+28, 143750852.63705966, 3.2259121698322944e+28)
17 (3.2259121748541378e+28, 543795182.59304571, 3.2259121748541378e+28)
18 (3.2259121145220854e+28, 4927293190.4236612, 3.2259121145220854e+28)
19 (3.2259154157905724e+28, 54167829910.258484, 3.2259154157905724e+28)
20 (3.2258282963156759e+28, 4895592555.0836868, 3.2258282963156759e+28)
21 (3.2257361000392154e+28, 62075078356.740532, 3.2257361000392154e+28)
22 (3.2257468592962051e+28, 14083046460.044271, 3.2257468592962051e+28)
23 (3.2257470503946e+28, 82082013.152077243, 3.2257470503946e+28)
24 (3.2257472813768291e+28, 22322107564.2052, 3.2257472813768291e+28)
25 (3.2259184692877371e+28, 26487247831.10553, 3.2259184692877371e+28)
26 (3.2260897734085429e+28, 6490761373.3115435, 3.2260897734085429e+28)
27 (3.3332169300364754e+28, 9515209420383.5898, 3.3332169300364763e+28)
28 (3.6541544937723625e+28, 202959111.02837276, 3.6541544937723625e+28)
29 (3.6541545442261258e+28, 255017845.83802837, 3.6541545442261258e+28)
30 (3.6366932318285983e+28, 788186497812.17236, 3.6366932318285983e+28)
31 (3.6207742777288807e+28, 49680454.606526241, 3.6207742777288807e+28)
32 (3.6207743320048099e+28, 14953935677.432091, 3.6207743320048099e+28)
33 (3.6207747071707948e+28, 217628296.77495188, 3.6207747071707948e+28)
34 (3.620777179869954e+28, 62738219425.551109, 3.620777179869954e+28)
35 (3.6207854161710771e+28, 38911146585.232491, 3.6207854161710771e+28)
36 (4.1241839685977554e+28, 14701564769722.754, 4.1241839685977572e+28)
37 (5.6343561978991935e+28, 50630592670.970291, 5.6343561978991935e+28)
38 (5.634362864425911e+28, 26444426.29816176, 5.634362864425911e+28)
39 (5.6345928041299496e+28, 424283099043.44049, 5.6345928041299496e+28)
40 (5.6352865070504312e+28, 16060711.016050098, 5.6352865070504312e+28)
41 (5.6352864999122012e+28, 37267271.347533867, 5.6352864999122012e+28)
42 (5.6352865019724274e+28, 569125203.26648962, 5.6352865019724274e+28)
43 (5.6352857713607104e+28, 71151904.776155323, 5.6352857713607104e+28)
44 (5.6352850366600927e+28, 4654792.084841351, 5.6352850366600927e+28)
45 (5.7680873734597022e+28, 7934845279341.7207, 5.7680873734597031e+28)
46 (6.1654408017395355e+28, 51892286748.058456, 6.1654408017395355e+28)
47 (6.165458361239351e+28, 19541941423.942837, 6.165458361239351e+28)
48 (6.1654677299633137e+28, 223446228.83624411, 6.1654677299633137e+28)
49 (6.1654677620099083e+28, 225202164.49630788, 6.1654677620099083e+28)
50 (6.2128265007246688e+28, 4941485887673.3887, 6.2128265007246697e+28)
51 (6.4819876923177076e+28, 2502347188963.123, 6.4819876923177076e+28)
52 (6.6307717956815175e+28, 619435657.01126134, 6.6307717956815175e+28)
53 (6.6307716700887938e+28, 348554610.93041027, 6.6307716700887938e+28)
54 (7.2219354547386582e+28, 5912186452362.5869, 7.2219354547386591e+28)
55 (6.6926044866769519e+30, 404273275211755.12, 6.6926044866769519e+30)
56 (2.6533322733721062e+31, 67243136072.814659, 2.6533322733721062e+31)
