0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (69.890864089291995, -327.55210372262906, -257.66123963333706)
2 (69.896095081390712, -327.55733476231183, -257.66123968092108)
3 (69.900331228606831, -327.56157095593471, -257.66123972732788)
4 (69.903571951885951, -327.56481172444069, -257.66123977255472)
5 (69.90581669656504, -327.56705651316162, -257.66123981659655)
6 (69.907064932429662, -327.56830479188113, -257.66123985945148)
7 (69.907316153775383, -327.5685560548884, -257.66123990111305)
8 (69.906569879472471, -327.5678098210513, -257.66123994157886)
9 (69.904825653034976, -327.56606563387732, -257.66123998084231)
10 (69.902083042693789, -327.56332306159487, -257.66124001890108)
11 (69.898341641473181, -327.55958169722203, -257.66124005574886)
12 (69.893601067271618, -327.55484115865062, -257.661240091379)
13 (69.887860962946561, -327.54910108873401, -257.66124012578746)
14 (69.881120996402686, -327.54236115536929, -257.66124015896662)
15 (69.873380860684762, -327.5346210515961, -257.66124019091137)
16 (69.864640274074048, -327.52588049568902, -257.661240221615)
17 (69.854898980188352, -327.51613923125848, -257.66124025107013)
18 (69.844156748086931, -327.50539702735574, -257.66124027926878)
19 (69.832413372378369, -327.49365367858445, -257.66124030620608)
20 (69.819668673332885, -327.48090900520555, -257.66124033187265)
21 (69.805922496998662, -327.46716285325721, -257.66124035625853)
22 (69.791174715321944, -327.4524150946819, -257.66124037935992)
23 (69.775425226270968, -327.43666562743482, -257.66124040116387)
24 (69.758673953964077, -327.41991437562797, -257.66124042166388)
25 (69.740920848801792, -327.40216128965255, -257.66124044085075)
26 (69.722165887602486, -327.38340634631612, -257.66124045871362)
27 (69.702409073742317, -327.36364954898659, -257.66124047524426)
28 (69.681650437299041, -327.34289092773008, -257.66124049043106)
29 (69.659890035199496, -327.3211305394654, -257.66124050426589)
30 (69.637127951371397, -327.29836846810815, -257.66124051673677)
31 (69.613364296898737, -327.2746048247318, -257.66124052783306)
32 (69.588599210181044, -327.24983974772471, -257.66124053754368)
33 (69.56283285709695, -327.22407340295439, -257.66124054585742)
34 (69.536065431170996, -327.19730598393329, -257.66124055276231)
35 (69.508297153745076, -327.16953771199002, -257.66124055824491)
36 (69.479528274152912, -327.14076883644867, -257.66124056229575)
37 (69.449759069899059, -327.11099963480029, -257.66124056490122)
38 (69.418989846841413, -327.08023041288897, -257.66124056604758)
39 (69.387220939377613, -327.04846150510105, -257.66124056572346)
40 (69.354452710635215, -327.01569327454854, -257.66124056391334)
41 (69.320685552665665, -326.98192611327062, -257.66124056060494)
42 (69.285919886642148, -326.94716044242614, -257.66124055578399)
43 (69.250156163061121, -326.91139671249834, -257.66124054943725)
44 (69.213394861947549, -326.87463540349637, -257.66124054154881)
45 (69.17563649306382, -326.83687702516903, -257.66124053210524)
46 (69.136881596122691, -326.79812211721259, -257.66124052108989)
47 (69.097130741003411, -326.75837124949271, -257.6612405084893)
48 (69.056384527971957, -326.7176250222584, -257.66124049428646)
49 (69.014643587904601, -326.67588406637117, -257.66124047846654)
50 (68.971908582515326, -326.63314904352882, -257.66124046101351)
51 (68.928180204586695, -326.58942064649676, -257.66124044191008)
52 (68.883459178204205, -326.54469959934505, -257.66124042114086)
53 (68.837746258994557, -326.49898665768177, -257.6612403986872)
54 (68.791042234366842, -326.45228260890099, -257.66124037453415)
55 (68.743347923758009, -326.40458827242128, -257.66124034866328)
56 (68.694664181101189, -326.35590450084931, -257.66124031974812)
57 (68.644991890911299, -326.30623218129961, -257.66124029038832)
58 (68.594331968087886, -326.2555722273454, -257.66124025925751)
59 (68.542685362701164, -326.20392558903831, -257.66124022633716)
60 (68.49005305812517, -326.15129324973435, -257.66124019160918)
61 (68.436436071303092, -326.09767622635644, -257.66124015505335)
62 (68.381835453015697, -326.04307556966728, -257.66124011665158)
63 (68.32625228815337, -325.98749236453722, -257.66124007638382)
64 (68.269687723965561, -325.9309277711933, -257.66124004722775)
65 (68.21214291854082, -325.87338292169977, -257.66124000315892)
66 (68.153619034301457, -325.81485899146696, -257.66123995716549)
67 (68.094117295539405, -325.75535720476711, -257.66123990922767)
68 (68.033638962062398, -325.6948788213856, -257.66123985932319)
69 (67.972185329483764, -325.63342513691589, -257.66123980743214)
70 (67.909757729516102, -325.57099748304984, -257.66123975353372)
71 (67.846357530266928, -325.5075972278749, -257.66123969760798)
72 (67.78198613653791, -325.44322577616987, -257.66123963963196)
73 (67.716644990126369, -325.37788456971106, -257.66123957958467)
74 (67.650335570129869, -325.31157508757383, -257.66123951744396)
75 (67.583059393253151, -325.24429884644104, -257.66123945318787)
76 (67.514818014118191, -325.17605740091443, -257.66123938679624)
