0 (69.888000000000034, -327.54587844028083, -257.6578784402808)
1 (66.911784927305476, -324.83580518261607, -257.92402025531061)
2 (58.187927491075342, -316.01252335744749, -257.82459586637214)
3 (45.536776479588141, -303.09621330617108, -257.55943682658295)
4 (33.341581518011495, -290.54426802911689, -257.20268651110541)
5 (26.723804531354819, -283.77761610032189, -257.05381156896709)
6 (27.739796306004763, -284.99253134393041, -257.25273503792562)
7 (33.74351701382875, -291.30014061970286, -257.55662360587411)
8 (40.298484435198347, -298.01245693513653, -257.71397249993817)
9 (44.724949221367993, -302.41281103451377, -257.68786181314579)
10 (47.08460602664664, -304.63445996810464, -257.54985394145797)
11 (49.18739855279938, -306.59378076916312, -257.40638221636374)
12 (53.079218708375464, -310.41203232479063, -257.33281361641514)
13 (59.83888888096881, -317.1971287944545, -257.3582399134857)
14 (69.077816298128241, -326.53531500066481, -257.45749870253655)
15 (79.313469376964903, -336.88910064350529, -257.57563126654037)
16 (88.748519049108879, -346.40933549128016, -257.66081644217127)
17 (95.867809205204779, -353.60324298000342, -257.73543377479865)
18 (99.567404328839729, -357.36641565967051, -257.79901133083081)
19 (99.192479415269815, -357.01445295512764, -257.82197353985782)
20 (95.230760752843167, -352.93933006931252, -257.70856931646938)
21 (90.161895959291527, -347.6507641529339, -257.48886819364236)
22 (87.456694065057647, -344.91340458528697, -257.45671052022931)
23 (87.758174118392191, -345.46003350365601, -257.70185938526379)
24 (88.480155678506847, -346.24054657745313, -257.7603908989463)
25 (88.287377383966046, -346.03255243735282, -257.74517505338679)
26 (87.252907882078247, -345.00577800701916, -257.7528701249409)
27 (85.526096597271334, -343.26245243356743, -257.73635583629607)
28 (83.409451165730047, -341.15320137905161, -257.74375021332156)
29 (80.986230696481172, -338.73649411251012, -257.75026341602893)
30 (78.65028859130318, -336.2659906576996, -257.61570206639641)
31 (78.12818876480975, -335.66674058532459, -257.53855182051484)
32 (79.954740363283136, -337.71895417510001, -257.76421381181689)
33 (81.671137407616712, -339.49800735563321, -257.82686994801651)
34 (82.433749242727345, -340.0734986640839, -257.63974942135656)
35 (83.655372741135878, -341.38208286569181, -257.72671012455595)
36 (84.40756223132918, -342.27200583745451, -257.86444360612535)
37 (82.828663105414961, -340.66487394161391, -257.83621083619892)
38 (79.833047613157376, -337.36297950878469, -257.52993189562733)
39 (79.615154008570443, -336.98326807474501, -257.3681140661746)
40 (83.689807308328696, -341.45993308480689, -257.77012577647821)
41 (87.584908589558609, -345.52537355781033, -257.94046496825172)
42 (88.18337915206547, -346.00656051509316, -257.82318136302769)
43 (86.271572598584484, -344.00033326010924, -257.72876066152475)
44 (83.317396762927288, -341.00480421544142, -257.68740745251415)
45 (80.307383235619398, -337.96567500092391, -257.65829176530451)
46 (78.003862561723551, -335.6491734575315, -257.64531089580794)
47 (77.234933683849718, -334.80066098746391, -257.56572730361421)
48 (79.525988505604502, -336.97220475168507, -257.44621624608055)
49 (85.847813736152347, -343.456472139303, -257.60865840315068)
50 (93.740573862479451, -351.64001876773716, -257.89944490525772)
51 (98.654612672378974, -356.76044487097965, -258.10583219860069)
52 (97.711970273978977, -355.69803843270716, -257.98606815872819)
53 (92.567462864560554, -350.23265885435598, -257.66519598979539)
54 (87.260458433753541, -344.82888040202755, -257.56842196827404)
55 (83.515363991708881, -341.15822532482582, -257.64286133311691)
56 (80.325441896780049, -338.11280235206425, -257.78736045528422)
57 (76.152231281463983, -333.89817043641136, -257.74593915494739)
58 (72.032989742603121, -329.50129561569986, -257.46830587309671)
59 (71.731452424483109, -329.07852035247595, -257.34706792799284)
60 (76.444562585021259, -334.12519013338033, -257.6806275483591)
61 (82.076579771265443, -339.99398428489974, -257.91740451363432)
62 (84.908530973235997, -342.78814854051137, -257.87961756727537)
63 (84.882781713197332, -342.64190251957484, -257.7591208063775)
64 (83.557283394640891, -341.28036181665442, -257.72307842201354)
65 (82.279949892930432, -339.87998286976477, -257.60003297683431)
66 (82.856230432798071, -340.41801872185243, -257.56178828905433)
67 (85.296826459702913, -343.09360864084624, -257.79678218114333)
68 (86.646669191755549, -344.53444258558608, -257.88777339383051)
69 (85.180024395302368, -343.0054554144649, -257.82543101916252)
70 (82.105476316822177, -339.71144351837671, -257.60596720155456)
71 (80.843683752564701, -338.27290256825637, -257.42921881569168)
72 (84.025745241470005, -341.51594390282139, -257.49019866135137)
73 (90.436331086048298, -348.21805827569034, -257.78172718964203)
74 (96.061055663339729, -353.9356006933985, -257.87454503005875)
75 (98.766508265416505, -356.53869455191642, -257.7721862864999)
76 (99.205098205206028, -356.89386862107403, -257.68877041586802)
77 (98.248647208394189, -355.9503220597876, -257.70167485139342)
